"filename", "language", "Rust", "TOML", "Markdown", "CSV", "Properties", "YAML", "Ignore", "XML", "comment", "blank", "total"
"d:\mgr\server\middleware\Cargo.toml", "TOML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\mgr\server\middleware\src\jwt_middleware.rs", "Rust", 46, 0, 0, 0, 0, 0, 0, 0, 2, 4, 52
"d:\mgr\server\middleware\src\jwt_util.rs", "Rust", 69, 0, 0, 0, 0, 0, 0, 0, 6, 15, 90
"d:\mgr\server\middleware\src\lib.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\mgr\server\model\Cargo.toml", "TOML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\mgr\server\model\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"d:\mgr\server\model\src\admin\mod.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\mgr\server\model\src\admin\request\mod.rs", "Rust", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\mgr\server\model\src\admin\request\sys_access_key.rs", "Rust", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\mgr\server\model\src\admin\request\sys_authentication.rs", "Rust", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\mgr\server\model\src\admin\request\sys_authorization.rs", "Rust", 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"d:\mgr\server\model\src\admin\request\sys_domain.rs", "Rust", 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"d:\mgr\server\model\src\admin\request\sys_endpoint.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\mgr\server\model\src\admin\request\sys_login_log.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\mgr\server\model\src\admin\request\sys_menu.rs", "Rust", 64, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"d:\mgr\server\model\src\admin\request\sys_operation_log.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
